precipitation,temp_max,temp_min,wind,weather
2.3,11.7,9.4,3.7,rain
2.8,11.7,9.4,3,rain
0,14.4,8.9,4.3,rain
4.3,10.6,4.4,6.4,rain
0,8.9,3.9,6.1,sun
0,11.7,3.9,5.9,rain
11.7,12.8,1.7,3.4,rain
9.9,11.1,4.4,7.6,rain
8.1,10,2.2,4.9,snow
0,9.4,0.6,2.2,sun
0,10,1.1,2.6,sun
0,12.2,0.6,2.1,sun
0,16.7,4.4,2.8,sun
0,16.7,6.1,1.7,sun
0.3,13.3,7.2,1.6,rain
2,16.1,8.3,1.3,rain
0,18.3,7.8,2.5,rain
0,20,5.6,4.4,drizzle
0,20.6,6.7,2.9,sun
0,17.2,8.3,3.6,sun
0,13.9,8.9,2.2,sun
0,16.7,7.8,1.6,sun
8.4,14.4,10,3,rain
18.5,13.9,10,5.6,rain
12.7,12.2,7.2,5,rain
39.1,8.3,5,3.9,rain
0.8,13.3,6.1,3.1,rain
0,12.2,6.1,2.4,sun
9.4,15,8.9,6.4,rain
1.5,12.2,6.7,3.8,rain
9.7,7.8,4.4,4.6,rain
9.4,10.6,3.3,5.7,rain
5.8,12.8,4.4,2.3,rain
0,13.9,4.4,2.4,fog
0.3,13.9,3.3,2.6,rain
0,15,3.9,3.3,drizzle
5.3,11.7,6.7,4,rain
20.6,13.3,9.4,4.9,rain
0,13.9,8.3,5.8,sun
3.3,12.2,6.7,4.1,rain
0,16.1,5,4.3,sun
0,17.8,3.9,2.8,sun
0,21.1,6.1,3,sun
0,21.7,6.7,1.1,sun
0,20.6,8.3,2.2,fog
0,13.9,10.6,5.9,sun
1,15,9.4,5.2,rain
3.8,13.9,6.7,4.2,rain
0,12.8,4.4,2.4,sun
0,18.3,3.3,3.1,sun
0,20.6,6.7,4,sun
0,21.7,9.4,4.9,sun
0,25,11.1,6.5,sun
0,28.9,11.7,5.3,sun
0,30.6,12.2,2,sun
0,20.6,11.1,3.3,sun
0,19.4,11.1,1.9,sun
0,22.8,10,1.3,sun
0,26.1,9.4,1,sun
0,27.2,12.2,2.6,sun
6.6,21.7,13.9,3.9,rain
3.3,18.9,9.4,5,rain
0,18.3,7.8,2.4,sun
1,17.2,8.9,2.3,rain
0,21.7,12.2,2.7,fog
0.5,17.2,11.7,3.7,rain
0,16.7,11.1,2.9,sun
0,18.3,10.6,2.3,sun
0,19.4,9.4,1.8,sun
13.7,15.6,8.3,4.8,rain
13.7,11.1,7.2,3,rain
4.1,12.2,6.7,1.9,rain
0.3,16.7,8.9,2.7,rain
0,17.8,10,2.7,sun
1.5,18.3,10.6,2.2,rain
9.7,16.7,11.1,3.1,rain
0.5,17.2,11.7,2.8,rain
5.6,16.1,9.4,4,rain
0,16.7,9.4,5.3,sun
0,19.4,11.1,2.5,sun
0,22.8,12.2,2.5,sun
1,20.6,12.2,3.1,rain
0,22.2,11.1,2.9,sun
0,26.1,12.2,3.4,sun
0,26.7,14.4,3.1,sun
0,26.7,12.2,2.5,sun
0,21.7,13.3,3.2,sun
0,20.6,12.8,3.1,sun
0,20.6,11.1,3.7,sun
0,21.7,11.7,3.2,sun
0,20,10,5.7,sun
0.3,20.6,11.7,4.2,rain
0,21.1,11.7,2.6,sun
0,20,12.2,3.7,sun
0,25.6,10,2.9,sun
0,23.9,12.8,3.4,sun
0,25.6,13.9,3,sun
0.3,23.3,13.3,3.4,rain
0,20,12.8,3.7,sun
3,17.2,12.8,5,rain
0.3,20.6,12.2,1.5,rain
0,25.6,11.7,1.7,sun
7.9,22.2,15,2.1,rain
4.8,21.1,13.9,3.7,rain
9.9,23.3,14.4,2.8,rain
2,22.2,15,2.3,rain
3.6,21.1,16.7,1.3,rain
0,30.6,16.1,2.2,sun
0,30,18.3,1.7,sun
0,33.9,17.2,2.5,sun
0,31.7,18.3,2.3,sun
0,28.3,15.6,3,sun
0,26.1,16.7,3.2,sun
0,21.7,13.9,2.2,fog
0,23.3,13.9,2.6,sun
0,26.1,13.3,2.2,sun
0,23.9,13.9,2.9,sun
0,26.7,13.3,2.8,sun
0,30,15,2.5,sun
0,22.2,13.9,2.6,sun
0,22.8,12.2,3,sun
0,19.4,13.3,2.2,sun
0,26.1,11.1,3.1,sun
0,27.8,12.8,3,sun
0,27.8,14.4,4.6,sun
0,31.1,18.3,4.1,sun
0,22.2,15,3.7,sun
0,26.1,13.9,2,sun
0,27.8,13.3,1.9,sun
0,25,13.3,2,sun
0,23.9,12.8,2.3,sun
0,26.1,13.3,2.4,fog
0,31.1,13.9,3,sun
0,31.1,14.4,2.5,sun
0,31.1,12.8,2.3,sun
0,31.1,14.4,2.9,sun
0,25.6,12.8,2.6,sun
0,21.1,12.2,3.4,fog
0,25,13.3,1.4,sun
0,25,13.3,2.8,sun
0,21.7,13.3,1.8,sun
0,20.6,13.3,3.9,sun
2,17.2,15,2,rain
0,25,15.6,2.4,fog
0,28.9,15,3.4,sun
0,30,15,2.1,sun
0,30.6,13.9,1.4,sun
