precipitation,temp_max,temp_min,wind,weather
0,20.6,12.8,1.8,fog
0,17.2,11.1,1,fog
0.3,18.3,10,3.8,rain
7.4,18.3,11.7,3.5,rain
0,17.8,11.7,2.1,sun
7.6,21.1,10,3.1,rain
7.1,16.7,11.7,2.2,rain
8.6,16.1,11.7,4.7,rain
0,20.6,11.1,3.3,sun
3.3,16.7,11.7,3,rain
15,19.4,13.9,1.9,rain
0,22.2,12.8,3.2,sun
11.7,16.1,12.2,3.1,rain
1,16.1,11.7,4.7,rain
32,15.6,11.7,5,rain
9.4,14.4,8.3,4.6,rain
4.1,14.4,8.9,3.2,rain
6.1,16.7,8.3,5.4,rain
1.5,12.8,7.8,5,rain
0.8,15.6,6.7,2.4,rain
12.7,15,9.4,3.9,rain
0.5,16.7,11.7,3.1,rain
25.4,15.6,11.1,3.2,rain
17,12.8,8.3,2,rain
0,11.1,7.2,1.2,fog
1.8,13.3,7.2,2.9,rain
10.9,13.9,11.1,4.8,rain
4.1,14.4,10.6,3.3,rain
4.8,15,10.6,2.1,rain
4.1,16.7,10.6,6.7,rain
0,14.4,7.2,2.3,sun
0,12.8,3.9,0.8,fog
5.1,13.3,7.8,3,rain
0,11.1,5.6,3.9,sun
0,7.8,1.1,7.7,sun
0,6.7,0,7.6,sun
0,7.2,0.6,4.7,sun
0,7.2,-2.1,4.5,sun
0,8.3,-1.6,4.2,sun
0,9.4,-2.1,4.2,sun
0,10.6,-2.1,1.9,sun
0,7.2,-0.5,0.9,sun
0,11.1,2.2,1.9,sun
3.6,11.1,5.6,2.1,rain
15.2,11.1,8.3,4.7,rain
0.5,9.4,6.7,4.7,rain
11.9,12.8,5.6,5.1,rain
1.3,11.7,4.4,3.8,rain
18.3,13.9,9.4,4.5,rain
0.3,15,12.2,3.9,rain
3.3,14.4,11.7,6.6,rain
34.3,12.8,3.3,5.8,rain
3.6,4.4,-4.3,5.3,snow
0,2.8,-4.9,4.4,sun
0,4.4,-3.2,2.2,sun
0,5.6,-3.2,5.7,fog
0,10,0,3.6,sun
0.8,8.3,3.9,1.1,rain
3,12.8,6.7,3.1,rain
7.4,11.7,7.8,3.6,rain
0,14.4,6.1,2.8,sun
9.1,14.4,8.9,4.2,rain
9.9,16.1,10.6,5.1,rain
13,18.9,10,6.7,rain
6.9,14.4,8.3,6.4,rain
0,11.1,7.2,3.7,sun
0,10,3.9,1.1,fog
0,12.8,1.7,3.5,fog
0,12.2,6.7,5.9,sun
0,10,8.3,4,sun
2.8,8.9,6.1,1.6,rain
13,9.4,6.7,3.1,rain
3,11.1,7.2,4.3,rain
19.6,12.8,6.7,5.5,rain
0,12.8,10,5.2,sun
0,10.6,6.1,1.5,sun
20.6,12.2,5,3.8,rain
5.3,7.2,3.9,1.8,rain
0,7.8,2.8,2.2,fog
0,5.6,1.7,1.2,fog
3.3,9.4,4.4,4.9,rain
4.1,6.7,2.8,1.8,rain
0,6.1,0.6,4.3,fog
0,3.3,-2.1,3.6,sun
0,3.3,-2.7,3,sun
0,5.6,-3.2,1.2,sun
1.5,5.6,0,2.3,rain
0,5,1.7,1.7,fog
10.2,10.6,3.3,4.5,rain
8.1,12.2,9.4,6.4,rain
0,12.2,6.1,1.3,fog
0,7.8,5.6,1.6,fog
0,7.8,1.7,2.6,fog
0.3,10,3.3,0.6,rain
5.8,7.8,6.1,0.5,rain
1.5,9.4,7.2,1.1,rain
0,11.1,4.4,1.6,fog
0,9.4,2.8,2.7,fog
0,6.1,0.6,2.8,fog
9.7,7.8,1.1,3.2,rain
0,11.7,5.6,4.5,fog
26.2,13.3,3.3,2.8,rain
21.3,13.9,7.2,6.6,rain
0.5,10,6.1,2.8,rain
0,10,3.3,3,fog
0,7.2,-0.5,1.3,fog
0.8,9.4,6.1,1.3,rain
5.8,12.2,8.3,2.6,rain
0.5,14.4,11.1,3.3,rain
0,17.2,7.2,1.4,fog
0,16.1,6.1,2.2,fog
0.8,11.1,8.3,2,rain
0,12.2,5,1.8,fog
0,12.2,3.3,2.9,sun
0,8.3,1.1,0.8,fog
0,7.2,3.3,1.9,fog
1.5,9.4,4.4,2.6,rain
7.4,11.1,5,4,rain
1.3,10,5.6,1.9,rain
8.4,10.6,4.4,1.7,rain
26.2,13.3,8.3,4.6,rain
17.3,14.4,10,4.5,rain
23.6,12.2,9.4,4.6,rain
3.6,15,8.3,3.9,rain
6.1,13.3,8.3,2.5,rain
0.3,12.8,8.3,4,rain
0,12.8,5.6,1,fog
1,16.7,9.4,2.1,rain
0,15.6,6.7,1.7,fog
0.3,14.4,6.7,2.9,rain
0,12.2,3.9,4.8,sun
0,15,5.6,6.6,fog
0,16.1,4.4,4,sun
0,12.2,4.4,2.6,sun
4.6,10.6,8.3,2.2,rain
0.8,11.1,7.2,0.9,rain
0,12.2,5.6,4.5,sun
0,11.7,3.3,4.2,sun
0,12.8,0.6,1.4,sun
0,11.1,2.2,1.5,sun
4.1,10,6.7,1,rain
9.4,11.7,7.8,1.4,rain
