precipitation,temp_max,temp_min,wind,weather
18.3,10,6.7,4,rain
0,12.2,3.3,5.1,sun
0,11.1,1.1,2.2,sun
0,11.1,4.4,4.8,sun
0,10.6,0,2.1,sun
0,12.8,-0.5,1.8,sun
0,13.3,2.8,1.3,sun
0,15,3.3,1.4,sun
0,16.7,3.9,2.7,fog
0,17.2,3.9,1.7,fog
0,14.4,4.4,1.8,fog
0.8,13.3,5,2.6,rain
2.5,14.4,8.9,3.1,rain
0,17.8,9.4,3.2,sun
2,17.2,7.8,2.2,rain
17,13.9,9.4,3.8,rain
55.9,10.6,6.1,4.2,rain
1,13.9,6.1,3,rain
0.8,13.3,4.4,2.6,rain
0,15.6,7.2,2.5,sun
0,15.6,8.3,1.9,sun
4.1,13.9,8.9,1.9,rain
3.8,13.3,8.3,4.7,rain
1,11.7,6.1,2.3,rain
8.1,11.1,5.6,2.8,rain
7.6,12.8,6.1,3.9,rain
5.1,14.4,7.2,4.4,rain
0,20.6,10,2.2,sun
1,18.3,8.9,4,rain
0,15.6,9.4,5.7,sun
0,15.6,8.9,3,sun
1.8,17.8,10.6,2.9,rain
1,12.8,6.1,4.2,rain
5.1,12.8,5.6,3.2,rain
0,13.3,5.6,2.4,sun
1.5,11.1,5,3.6,rain
0,12.8,3.9,1.7,sun
0,16.7,2.8,2.4,sun
1,13.9,6.7,3.5,rain
0.5,14.4,6.7,3.9,rain
0,17.2,6.1,1.7,sun
0,17.2,6.1,2.3,sun
10.9,13.9,7.8,4.6,rain
0,11.7,5.6,6.5,sun
0,13.3,5.6,3.6,sun
14,11.7,3.9,3.6,rain
3.3,11.7,2.8,3.3,rain
0,13.9,3.3,2.4,sun
0,17.8,3.9,3.1,sun
0,18.9,6.1,3.6,sun
0,18.9,8.3,3.9,sun
0,21.1,8.3,3.6,sun
0,22.8,7.8,2.6,sun
5.6,17.2,6.7,3.4,rain
0,15.6,5,2.3,sun
3,12.2,6.7,4.1,rain
3.3,12.2,6.1,5,rain
1.3,13.3,5.6,3,rain
0,15.6,4.4,2.7,fog
0.3,25,10.6,2.3,rain
1.8,15.6,8.9,4.3,rain
0,16.1,7.2,4.7,sun
0,17.2,7.8,2.1,sun
0,18.3,8.9,3.7,sun
0,18.3,7.8,3.7,sun
0,20.6,7.8,2.6,sun
0,17.2,7.2,5.2,sun
6.1,14.4,7.2,5.1,rain
0,16.7,7.2,2.6,fog
0,20.6,6.1,3,sun
0,23.9,8.3,3,sun
0,26.7,9.4,2.6,sun
0,19.4,11.1,2.8,sun
0,13.9,10,2.5,fog
4.3,15.6,10.6,3.3,rain
4.1,12.2,10,2.8,rain
0.3,17.8,9.4,2,rain
0,20,9.4,2.8,fog
0,15.6,11.1,3,sun
0,19.4,10.6,2.1,sun
0,25.6,12.2,3,sun
0,21.7,11.7,2.6,sun
0,23.3,10.6,1.8,fog
0,25.6,11.7,2.1,sun
0,16.7,11.7,3.7,sun
0,16.1,11.7,2.6,sun
0,17.8,11.1,2.7,sun
0,15.6,11.1,2.7,sun
0,21.7,11.7,2.1,sun
0,24.4,11.7,1.8,sun
0,27.8,12.2,2.1,sun
0,26.1,12.8,2.5,sun
0,22.8,10,2.5,sun
0,25,11.7,2.2,sun
4.6,16.1,11.7,3.4,rain
0.5,17.8,12.8,5,rain
0,20,11.7,3,sun
0,22.8,11.7,3.9,sun
0,26.7,12.8,4.3,sun
0,29.4,13.3,2.6,sun
0,31.1,15.6,3.2,sun
0,30.6,14.4,3.5,sun
0,28.9,14.4,2.7,sun
0,25.6,11.1,3,sun
0,24.4,11.1,3.5,sun
0,20,11.7,2.3,sun
0,23.9,9.4,2.6,sun
0,27.8,11.7,3.7,sun
0,30,16.1,3.5,drizzle
0,22.8,11.1,3,sun
0,25,11.1,3.1,sun
0,24.4,13.9,3,sun
0.5,23.9,13.3,3.2,rain
0,25,12.8,4.3,sun
0,25.6,13.9,3.4,sun
0,25,12.8,2.4,sun
0,26.1,11.7,2.4,sun
0,25.6,16.1,2.6,sun
0,30.6,15.6,3,sun
0,31.7,17.8,4.7,sun
0,33.3,17.2,3.9,sun
0.3,28.3,18.3,2.1,rain
0,28.9,17.2,2.7,sun
0,30.6,15,3.4,fog
0,32.2,17.2,4.3,sun
0,33.9,17.8,3.4,sun
0,33.3,17.8,2.6,sun
0,33.3,15,2.9,sun
0,32.8,16.7,2.1,sun
0,29.4,15.6,3.2,drizzle
0,27.2,13.9,2.4,sun
0,30,14.4,1.9,drizzle
0,28.9,14.4,3.4,sun
0,21.1,16.7,3.7,sun
0,22.2,16.7,3,sun
0,26.1,16.7,2.2,sun
0,25.6,16.1,3.1,sun
0,27.8,16.1,3.3,sun
0,26.1,14.4,3.2,sun
0,26.1,15,2.8,sun
0,27.8,13.9,3.3,sun
0,33.3,17.8,3.4,sun
