precipitation,temp_max,temp_min,wind,weather
0,31.1,13.9,1.9,sun
0,28.3,14.4,2.5,sun
0,28.3,14.4,2.1,sun
2.3,25.6,15,2.9,rain
0,25,14.4,2.9,sun
0,25.6,16.1,1.9,sun
0,27.8,15,1.8,sun
0.8,27.2,15,2,rain
1.8,21.1,17.2,1,rain
0,28.9,16.1,2.2,fog
0,25.6,17.2,3,sun
0,26.1,15.6,3.1,sun
0,26.7,15.6,3,sun
0,25.6,16.1,4.6,sun
0,27.8,15,4.3,sun
0,28.9,15,1.9,sun
0,25,16.1,4.1,sun
0,25,16.7,2.7,sun
0.3,22.2,16.1,2.6,rain
1,24.4,16.1,1.9,rain
1.3,26.7,17.2,1.4,rain
5.6,26.7,15.6,1.3,rain
19.3,23.9,18.3,3,rain
0,26.1,16.1,2.9,sun
0,27.8,13.9,2.6,sun
0,27.8,15.6,2.5,sun
0,27.8,17.2,2.1,sun
2.3,25,16.7,1.7,rain
0.3,22.8,16.1,2.4,rain
27.7,20,15.6,2.5,rain
21.3,21.7,16.1,2.6,rain
0,23.3,17.2,2,sun
0,26.7,14.4,1.5,fog
0,26.1,13.9,2.1,sun
0,26.7,15,3.7,sun
0,33.9,16.1,2.4,sun
0,25.6,15,1.7,sun
0,18.9,15.6,2,sun
0,21.7,15.6,1.4,fog
3.3,18.9,14.4,2.2,rain
0.3,21.7,15,4.3,rain
0,17.8,13.9,2.3,sun
0,21.1,13.3,2.5,sun
0,25.6,10,1.5,sun
3.6,23.3,13.3,3,rain
0,21.1,13.3,2.5,sun
13.5,17.2,13.3,5.5,rain
2.8,16.1,11.1,4.5,rain
0,17.8,10,2.6,sun
2,16.1,9.4,3,rain
0,17.2,7.2,2.2,sun
1,13.9,10.6,4.3,rain
43.4,16.7,11.7,6,rain
16.8,14.4,11.1,7.1,rain
18.5,13.9,10,6.3,rain
7.9,14.4,8.9,4.7,rain
5.3,12.8,9.4,2.4,rain
0.8,14.4,8.9,0.9,rain
0,17.8,5.6,1.1,sun
0,20,8.3,1.6,sun
4.1,22.8,7.8,2.6,rain
0.5,16.1,11.7,6.3,rain
6.9,13.9,7.8,3,rain
0,15,5.6,1.6,sun
1,14.4,8.3,1.7,rain
9.1,13.9,10.6,1,rain
1,14.4,8.9,2.2,rain
0,15,6.7,1.8,fog
0,15.6,3.9,1.6,sun
0,15.6,5,0.9,sun
0,12.8,8.9,2.7,fog
0,14.4,8.9,1.7,fog
0,12.8,7.2,1.2,sun
0,10.6,7.8,1.4,sun
0,10.6,7.8,2.4,sun
0,11.7,8.3,2.5,sun
0,14.4,7.2,1.9,sun
0,12.8,6.1,0.4,sun
0,10,6.1,0.6,sun
0,12.2,7.8,1.8,sun
0,11.7,8.3,2.7,sun
1.8,13.9,8.3,4.4,rain
0,14.4,7.2,5.1,sun
0,13.3,3.3,2.2,sun
0.5,15,5.6,3.9,rain
0.3,14.4,10.6,2.2,rain
1.3,17.8,11.7,1.4,rain
12.7,14.4,8.3,7.9,rain
0.5,12.2,4.4,2.4,rain
0,10.6,3.9,1.6,drizzle
2.5,13.3,7.2,3.1,rain
3.8,12.8,7.8,1.7,rain
30,11.1,10,7.2,rain
0,13.3,7.2,4.1,sun
1.8,11.1,5,1.4,rain
0,11.1,8.3,4.4,sun
0,16.1,6.1,2.6,fog
4.1,15.6,8.9,2.2,rain
0,13.9,10.6,3.8,sun
1.3,11.1,6.1,1.1,rain
3,10.6,7.2,6,rain
0,10,5,4.6,sun
5.3,11.7,7.2,5.4,rain
26.2,12.8,9.4,3.9,rain
1,13.3,4.4,5.1,rain
0,7.8,1.7,4.3,sun
0,7.8,-0.5,3.6,sun
0,9.4,0,4.6,sun
0,11.1,1.1,2.6,sun
0,11.7,0.6,0.9,fog
0,12.2,2.2,0.5,sun
0,12.2,2.8,1,sun
0,14.4,5.6,1.3,sun
0,11.7,3.3,0.7,sun
0.5,9.4,5,2.1,rain
2.3,11.1,7.2,3.9,rain
3,13.3,7.8,8.8,rain
4.6,7.8,1.7,3.5,rain
0,5,-0.5,5.6,sun
0,4.4,-2.1,1.6,sun
0,1.1,-4.9,2.6,sun
0,1.1,-4.3,4.7,sun
0,0,-7.1,3.1,sun
0,2.2,-6.6,2.2,sun
0,1.1,-4.9,1.3,sun
0,5.6,0.6,1.5,sun
0,5,-1.6,0.8,sun
6.9,5.6,-0.5,2.3,rain
0.5,9.4,5.6,2.9,rain
0,9.4,6.1,3.7,sun
1.3,11.7,8.3,3.9,rain
0.3,10,4.4,1,rain
0,8.3,4.4,2.7,sun
1.3,7.8,2.2,2.8,rain
0,5,0,2.1,sun
5.6,8.3,0.6,3.7,snow
5.6,8.9,5.6,2.3,rain
10.7,10.6,8.3,4,rain
1.5,11.7,6.1,5.9,rain
0,8.3,2.8,1.7,sun
0,6.7,1.7,0.8,sun
0,6.7,0.6,0.5,sun
0.3,8.9,0,2.1,rain
