precipitation,temp_max,temp_min,wind,weather
0,35,17.2,3.3,sun
0,26.7,16.7,3.9,sun
0,23.9,15,2.4,sun
0,23.9,13.9,2.8,sun
0,26.1,14.4,1.9,sun
0.3,22.8,13.3,3.8,rain
0,21.1,14.4,2.4,fog
2,22.2,13.9,2.6,rain
0,23.3,12.2,1.9,fog
0,27.8,13.9,3.4,sun
0,32.2,14.4,3.8,sun
0,34.4,17.2,3.5,sun
0,34.4,17.8,2.6,sun
0,33.3,15.6,3.1,sun
0,30.6,16.1,2,sun
0,28.3,17.2,2.3,sun
0,26.1,14.4,2.6,fog
0,23.3,12.2,3.5,sun
0,25,15,2.9,sun
0,28.3,15.6,3.7,sun
0,25,15.6,3.6,fog
0,28.3,15,2.2,sun
0,28.9,16.1,2.4,sun
0,30,16.7,4.4,sun
7.6,28.3,16.7,2.7,rain
0,28.3,15.6,2.2,sun
30.5,18.3,15,5.2,rain
0,21.7,13.9,3.7,sun
0,25,14.4,3.7,sun
0,27.2,13.9,3,sun
0,30,15,3,sun
0,31.7,16.1,2.1,drizzle
2,22.8,14.4,4.2,rain
0,22.2,14.4,2.6,sun
0,26.7,12.2,2.5,drizzle
0,27.8,13.9,1.8,drizzle
0,23.9,12.2,2.3,sun
0,25.6,12.2,3.4,sun
0,28.3,13.9,1.7,sun
0,29.4,14.4,2.1,sun
0.5,23.3,15.6,2.6,rain
32.5,22.2,13.3,5.8,rain
10.2,20,12.8,4.7,rain
0,18.9,16.1,5.8,sun
5.8,19.4,13.9,5,rain
0,19.4,11.1,3.8,sun
0,18.3,10.6,2.9,sun
0,18.3,10,2.9,sun
0.3,20.6,8.9,3.5,rain
5.3,16.1,11.7,2.4,rain
0.3,21.1,13.3,1.5,rain
0,22.8,13.3,2.4,sun
0,24.4,13.9,3.3,sun
0,25,14.4,3.6,fog
0,27.2,15,3.1,sun
0,26.7,14.4,2.1,sun
0.5,20.6,12.8,3,rain
0,16.7,10.6,3.4,sun
0,17.8,10,2.8,sun
1,20,10,1.9,rain
1.8,18.3,12.8,3.8,rain
0,19.4,12.8,2.6,sun
0,21.1,14.4,4.3,sun
4.1,22.8,12.2,6.8,rain
0,18.3,9.4,2.7,fog
0,18.9,7.8,2,sun
0,20.6,8.3,1.8,sun
0,22.2,11.1,2.5,fog
2,15.6,12.8,2.6,rain
0,18.3,10,2.7,sun
0,17.8,7.2,3.8,sun
0,21.1,9.4,5.1,sun
0,21.7,8.9,1.9,sun
0,18.3,10,1.3,fog
0,21.1,9.4,1.3,fog
0,15.6,10,2.9,fog
0,19.4,11.1,4.8,sun
0,22.8,10,3.7,sun
0,23.3,9.4,1.6,sun
0,18.3,10,2.6,drizzle
9.9,16.1,13.9,2.2,rain
0,18.9,13.3,1.1,fog
0.3,19.4,12.2,2.6,rain
28.7,21.1,13.3,4.7,rain
0,17.8,10.6,2.6,sun
4.6,18.3,10.6,2.8,rain
1.3,16.7,9.4,3.2,rain
0,15,10,5,fog
0,21.1,9.4,3.4,fog
0,20,8.9,1.3,sun
0.3,19.4,11.7,1.3,rain
3.8,15,12.8,2,rain
0.3,17.2,12.2,2.6,rain
0,17.8,10.6,1.8,fog
0,16.1,8.3,1.3,fog
0,16.1,8.9,2.7,fog
0,12.8,7.2,2.6,fog
0,15,8.9,2.9,fog
8.9,19.4,8.9,3.4,rain
6.9,12.2,10,4.6,rain
0,16.1,7.8,1.7,fog
3.3,13.9,11.1,2.8,rain
1.8,15,12.2,4.7,rain
19.3,17.2,11.7,6.7,rain
33,15.6,11.7,7.2,rain
26.2,12.2,8.9,6,rain
0.3,11.1,7.2,2.8,rain
0.8,10.6,5,1.4,rain
0,10,3.3,2.2,sun
1.3,11.7,7.8,2.3,rain
0,15.6,8.3,2.7,fog
12.7,12.2,9.4,3,rain
6.6,11.1,7.8,1.8,rain
3.3,10,5,1.3,rain
1.3,11.1,3.9,3.9,rain
1.5,11.1,6.1,4.6,rain
9.9,11.1,5,5.1,rain
33.5,13.3,9.4,6.5,rain
47.2,9.4,6.1,4.5,rain
22.4,8.9,2.2,4.1,rain
2,8.9,1.7,4,rain
29.5,13.3,6.7,8,rain
1.5,8.9,3.3,3.8,rain
2,8.9,2.8,4.2,rain
0,8.3,0.6,4,fog
0,8.9,0.6,4.7,sun
0,10,1.7,3.1,fog
3,6.7,0,1.3,rain
7.1,6.7,2.8,4.5,rain
0,7.2,0,5.7,sun
0,9.4,-1,4.3,sun
0,9.4,-1.6,3,sun
0,7.2,-2.7,1,sun
0,1.7,-2.1,0.9,fog
0.5,5.6,-3.8,1.7,rain
12.2,10,3.9,3.5,rain
2.5,10.6,4.4,5,rain
12.7,15.6,7.8,5.9,rain
2,10.6,6.1,4.7,rain
15.7,10,6.1,4,rain
11.2,12.8,7.2,5.9,rain
27.4,11.1,8.3,3.4,rain
