precipitation,temp_max,temp_min,wind,weather
0,9.4,3.3,1.3,sun
0,7.2,1.7,1.1,sun
0.3,8.9,4.4,2.6,rain
0.5,8.3,5,1.7,rain
0,7.2,3.3,1.2,sun
4.1,10.6,6.1,3.2,rain
1.5,8.9,2.8,2.6,rain
0,7.8,0.6,2.7,fog
0,8.3,-0.5,3.7,sun
0.3,7.8,-0.5,2.6,rain
12.2,8.3,5,1.6,rain
9.7,10,7.2,4.6,rain
5.8,9.4,5.6,6.3,rain
4.3,12.8,8.3,7,rain
21.3,14.4,7.2,8.8,rain
1.5,11.1,5.6,8.1,rain
0,10.6,10,7.1,sun
0,11.1,7.2,1.3,sun
0,11.1,5.6,2.5,sun
0,6.7,4.4,2.7,sun
0,5.6,2.8,2.3,sun
0,9.4,0.6,2.2,sun
0,6.1,3.3,2.5,sun
0,10,2.8,2.2,sun
0,10,1.7,1.5,sun
0.5,9.4,5.6,2.6,rain
0,10,2.8,5.2,fog
0,12.8,1.1,1.9,sun
0,12.2,1.1,0.8,sun
0,8.3,0.6,1.3,sun
0,9.4,1.7,1.3,sun
8.9,11.1,6.1,1.6,rain
21.6,11.1,7.2,3.4,rain
0,8.3,6.1,6.4,sun
2.3,7.8,5.6,2.6,rain
2,7.8,2.8,0.8,rain
0,8.9,1.1,2.5,sun
0,5,0,4.3,sun
0,2.8,-2.1,4.7,sun
0,-0.5,-5.5,6.6,sun
0,-1.6,-6,4.5,sun
0,3.3,-4.9,4.2,sun
5.1,5.6,-0.5,4.6,snow
0.5,3.9,0,2.4,rain
18.3,10,2.2,4.7,rain
17,12.2,5.6,3.8,rain
4.6,12.2,7.2,6.4,rain
1.8,12.8,7.8,6.3,rain
9.4,11.7,6.1,6.4,rain
11.7,11.1,5,5.1,rain
26.4,9.4,3.9,7.9,rain
14.5,8.3,4.4,5.5,rain
15.2,8.9,5,6.2,rain
1,8.3,3.9,6,rain
3,10,5.6,6.9,rain
2.8,6.7,3.9,2.9,rain
2.5,5.6,2.8,3.1,rain
6.1,7.2,3.9,2.6,rain
13,6.7,3.3,3.2,rain
0.3,12.2,3.9,4.5,rain
0,13.9,5.6,2.5,sun
0,12.8,4.4,2.3,sun
0,14.4,4.4,5.9,sun
0.5,7.2,4.4,4.7,rain
19.1,11.1,2.8,5.7,rain
10.7,14.4,8.9,5.1,rain
16.5,13.9,7.8,3.9,rain
46.7,15.6,10.6,3.9,rain
3,13.3,10,6.2,rain
0,15.6,8.9,4.2,sun
32.3,12.8,6.7,2.7,rain
4.3,15,9.4,4.3,rain
18.8,12.2,6.1,2.2,rain
0,14.4,4.4,2.3,fog
0,16.1,3.3,1.9,fog
0.5,13.9,5,2.5,rain
6.9,14.4,8.3,6.1,rain
8.1,16.7,4.4,3,rain
27.7,10.6,4.4,3.8,rain
0.3,10,2.8,3.2,rain
0,10,3.3,1.6,sun
0.5,11.1,3.3,5.1,rain
0,11.1,1.7,3,sun
0,10.6,2.8,3.8,sun
0,11.1,1.1,1.8,sun
0,12.8,4.4,3.3,sun
0,18.9,2.8,2.2,sun
4.1,13.9,6.7,4.4,rain
3.6,11.1,5.6,2.4,rain
0.3,12.2,6.7,2.8,rain
22.1,11.7,7.2,3.9,rain
14,11.7,7.2,5.1,rain
0,11.1,5,5.1,sun
0,15.6,2.2,3.8,sun
0,14.4,6.7,2.8,sun
0,14.4,5.6,4.2,sun
2.5,13.3,6.1,3.9,rain
0,12.8,6.1,4.7,sun
4.6,11.7,7.8,4.3,rain
0,13.9,8.3,2.6,sun
0,21.1,9.4,2.5,sun
4.6,15.6,8.3,4.2,rain
0,14.4,6.7,2.9,sun
0,15,6.7,3.6,sun
0,17.2,5,2.8,sun
0,16.1,7.8,4.4,sun
0,20.6,5.6,3.1,sun
0,20,5.6,2.6,sun
0.5,14.4,7.8,4,rain
10.9,11.1,8.9,4.6,rain
18.5,11.7,7.2,4.7,rain
0,14.4,5.6,3.8,sun
13.7,11.7,5.6,4.7,rain
0,15.6,5.6,2.7,sun
5.1,17.2,7.8,2.5,rain
14.2,12.2,5,4.2,rain
8.9,11.7,6.1,5,rain
12.4,13.9,6.1,5.3,rain
0,14.4,5.6,2.3,sun
3.3,15,5.6,3.9,rain
6.9,11.1,6.1,5.8,rain
0,16.1,4.4,2.6,sun
0,25,9.4,2.3,sun
0,27.8,9.4,3.9,sun
0,29.4,11.1,3,sun
0,18.3,10.6,4.7,sun
33.3,15,8.9,3.4,rain
16,14.4,8.9,4.2,rain
5.1,15.6,9.4,3.8,rain
0,16.7,8.3,2.6,sun
0,18.3,7.2,1.7,sun
13.7,13.9,9.4,3.4,rain
2,13.3,7.2,5.6,rain
0.5,15.6,7.2,2.1,rain
0,18.9,8.3,1.7,sun
0,24.4,9.4,2.7,sun
0,26.7,12.8,3.8,sun
0,27.8,13.3,3.3,sun
0,26.7,12.8,3,sun
0,20,11.7,4.1,sun
0,20,11.7,3.2,sun
0,20,10.6,3.2,sun
