precipitation,temp_max,temp_min,wind,weather
20.8,17.8,6.7,2,rain
4.8,15,9.4,5.3,rain
0.5,11.1,6.1,5.7,rain
6.4,11.7,4.4,2.7,rain
8.9,7.8,3.3,2.6,rain
0,11.1,5.6,3,rain
7.1,11.7,6.1,2.1,rain
0,11.7,6.7,1.5,sun
1.5,11.1,7.2,2.5,rain
23.1,14.4,9.4,5.1,rain
6.1,14.4,10,3.8,rain
10.9,15.6,10,4.9,rain
34.5,15,12.2,2.8,rain
14.5,15.6,11.1,2.7,rain
9.7,15,10.6,3,rain
5.6,15,10.6,1,rain
0.5,15.6,11.1,3.6,rain
8.1,17.8,12.8,3.8,rain
0.8,15,7.8,4,rain
0.3,12.8,6.7,3.5,rain
0,12.2,3.9,3.4,rain
0,10,1.1,3.4,rain
0,8.9,1.1,2,rain
0,7.8,-0.6,2.2,sun
15.2,8.9,1.1,3,rain
3.6,12.8,6.1,3,rain
5.3,11.1,7.8,2.5,rain
0.8,11.1,5,2.6,rain
0,9.4,2.8,2.4,drizzle
5.6,9.4,2.2,1.6,rain
6.1,12.2,6.1,5.3,rain
7.9,10,6.1,4.9,rain
54.1,13.3,8.3,6,rain
3.8,11.1,7.2,4.2,rain
11.2,8.3,3.9,5.5,rain
0,8.9,2.8,1.5,rain
32,9.4,6.1,2.4,rain
0,8.9,3.9,1.2,rain
0,8.3,1.1,3.6,drizzle
0,9.4,1.7,3.8,fog
0,10,1.7,1.5,sun
2.8,9.4,2.2,2.9,rain
1.5,12.8,7.8,4.2,rain
35.6,15,7.8,4.6,rain
4.1,13.3,8.3,5.5,rain
19.6,8.3,7.2,6.2,rain
13,9.4,7.2,4.4,rain
14.2,11.7,7.2,6.2,rain
1.5,8.9,4.4,5,rain
1.5,7.2,6.1,5.1,rain
1,7.8,3.3,4.6,rain
0,6.7,3.3,2,sun
1.5,6.7,2.8,2.1,rain
0.5,7.2,5.6,1.8,rain
3,7.8,5.6,4.5,rain
8.1,6.7,4.4,2,rain
2.3,7.2,3.3,2.8,rain
7.9,6.1,1.1,1.7,rain
5.3,4.4,0.6,5.1,snow
22.6,6.7,3.3,5.5,snow
2,8.3,1.7,9.5,rain
3.3,3.9,0.6,5.3,snow
13.7,8.3,1.7,5.8,snow
13.2,7.2,0.6,3.7,rain
1.8,8.3,-1.7,1.7,rain
3.3,8.3,3.9,3.5,rain
6.6,7.2,3.3,2.5,rain
0.3,5.6,2.8,2.8,rain
13.5,5.6,2.8,4.2,snow
4.6,6.7,3.3,4.9,rain
4.1,7.8,3.3,3.2,rain
0,8.3,3.9,1.7,rain
1.5,5,3.3,1.7,rain
0,4.4,0,1.8,drizzle
0,3.3,-1.1,2,drizzle
0,5,-2.8,2.7,sun
0,6.1,-1.1,3.2,sun
4.1,6.7,-1.7,3,rain
2.5,10,2.2,2.8,rain
3,6.7,4.4,3.1,rain
2,7.2,2.8,3,rain
2.3,10,4.4,7.3,rain
16.3,11.7,5.6,6.3,rain
38.4,10,1.7,5.1,rain
0.3,3.3,-0.6,2.1,snow
0,2.8,-2.8,1.9,drizzle
0,2.8,-3.9,2,sun
0,2.2,-4.4,1.5,sun
0,3.3,-2.2,1.3,sun
0,6.7,-0.6,2.3,sun
0,6.1,-3.9,1.8,drizzle
0,3.9,-2.8,1,drizzle
0,3.3,-1.1,1.3,drizzle
0,1.1,-0.6,1.9,drizzle
0,3.3,-0.6,2.1,drizzle
0,2.2,-1.7,1.1,drizzle
0,3.3,-1.7,0.6,drizzle
5.1,7.2,2.2,3.1,rain
5.8,7.2,1.1,2.6,rain
3,10.6,2.8,2.1,rain
2.3,8.3,3.9,4.5,rain
1.8,5.6,3.9,4.5,rain
7.9,6.1,3.3,3.2,rain
4.3,8.3,5,3.9,rain
3.6,8.9,6.7,3.9,rain
3,9.4,7.2,4,rain
0.3,11.7,5,2.9,rain
0,6.1,2.8,2,drizzle
2.3,8.9,2.8,2.9,rain
0,10.6,6.7,2.6,rain
3.3,10,6.7,5.1,rain
1,10.6,6.1,4.5,rain
1.3,9.4,3.3,4.1,rain
0,7.8,2.2,1.3,sun
0.3,8.3,4.4,1.3,rain
0,8.9,1.7,2,drizzle
0.3,8.3,4.4,1.4,rain
1,11.1,7.2,5.6,rain
2.3,9.4,7.2,4.1,rain
1,9.4,5.6,2.2,rain
0,13.3,5,2.4,drizzle
0,11.1,3.9,5.6,rain
0,9.4,4.4,3.4,rain
0,7.8,3.9,1.9,rain
0,10.6,1.7,3.4,sun
1.5,7.8,1.1,2.1,rain
0.5,6.7,3.9,6.2,rain
9.4,7.8,3.9,8.1,rain
0.3,10,3.9,4.6,rain
0,8.9,5,5.5,rain
2.3,10.6,3.3,7.1,rain
0.5,8.9,3.9,3.8,rain
4.6,10,4.4,1.8,rain
8.1,11.7,6.7,3.8,rain
4.1,15,11.1,5.4,rain
0.8,13.9,5,4.5,rain
0,11.1,2.2,2.8,sun
0,13.3,0,3.9,sun
0,9.4,6.1,2.4,rain
11.9,7.2,5,4.1,rain
7.4,12.2,5,2.5,rain
0,11.7,2.2,2.6,drizzle
0,12.8,1.1,1.3,fog
0.8,7.8,3.9,1.6,rain
1.3,10.6,6.1,1.1,rain
2,12.8,10,5.7,rain
